    Id,Section,Page,ItemType,Question,Option,Characteristic,Required,EnableWhen,HasHelper,HelperType,HelperName,HelperValue
lyasNrYg64vNxoRPDHnF,Who I Am,Intervention,radio,I understand that it is likely to take me between 30 and 60 minutes to complete MyPreOp.,OK,MISSING CHARACTERISTIC,TRUE,,FALSE,,,
zz9pdx4cA0UYnHqcrM3o,Who I Am,Intervention,checkbox,Sample Checklist,Checklist Item 1,patient_input-checklist_item_1,FALSE,,FALSE,,,
zz9pdx4cA0UYnHqcrM3o,Who I Am,Intervention,checkbox,Sample Checklist,Checklist Item 2,patient_input-checklist_item_2,FALSE,,FALSE,,,
zz9pdx4cA0UYnHqcrM3o,Who I Am,Intervention,checkbox,Sample Checklist,Checklist Item 3,patient_input-checklist_item_3,FALSE,,FALSE,,,
zz9pdx4cA0UYnHqcrM3o,Who I Am,Intervention,checkbox,Sample Checklist,Checklist Item 4,patient_input-checklist_item_4,FALSE,,FALSE,,,
zz9pdx4cA0UYnHqcrM3o,Who I Am,Intervention,checkbox,Sample Checklist,Checklist Item 5,patient_input-checklist_item_5,FALSE,,FALSE,,,
zz9pdx4cA0UYnHqcrM3o,Who I Am,Intervention,checkbox,Sample Checklist,Checklist Item 6,patient_input-checklist_item_6,FALSE,,FALSE,,,
dKXA6TQxzDxorwUzlpX6,Who I Am,Personal Details,text-paragraph,,,,FALSE,,FALSE,,,
1lUZByKtEId7OcXYianq,Who I Am,Personal Details,radio,Is this the name that you would like the doctors and nurses to use to address you?,No,patient_has_preferred_name,TRUE,,FALSE,,,
1lUZByKtEId7OcXYianq,Who I Am,Personal Details,radio,Is this the name that you would like the doctors and nurses to use to address you?,Yes,patient_has_no_preferred_name,TRUE,,FALSE,,,
jUWWzagNhq3d4FrpjfHb,Who I Am,Personal Details,text-field,What name would you like them to use?,,patients_preferred_name,TRUE,(patient_has_preferred_name=true),FALSE,,,
CDauRtb6yhha21jl35Kj,Who I Am,Personal Details,radio,Select your gender,Male,patient_is_male,TRUE,,FALSE,,,
CDauRtb6yhha21jl35Kj,Who I Am,Personal Details,radio,Select your gender,Female,patient_is_female,TRUE,,FALSE,,,
CDauRtb6yhha21jl35Kj,Who I Am,Personal Details,radio,Select your gender,Prefer to self-define,patient_has_other_identifier,TRUE,,FALSE,,,
VnnXl8PRbWuFu2xkOjke,Who I Am,Personal Details,radio,What sex were you assigned at birth?,Male,patient_has_sex-male,TRUE,,FALSE,,,
VnnXl8PRbWuFu2xkOjke,Who I Am,Personal Details,radio,What sex were you assigned at birth?,Female,patient_has_sex-female,TRUE,,FALSE,,,
lL7Zttoxe0WUXxsueTES,Who I Am,Personal Details,text-area,Is there anything we need to know about your gender identity or gender history in order to provide you with appropriate care?,,patients_gender_details,FALSE,(patient_has_other_identifier=true),FALSE,,,
3at9d8ngYM7LLA6i40Wy,Who I Am,Personal Details,text-area,Is there anything we need to know about your gender identity or gender history in order to provide you with appropriate care?,,patients_gender_details,FALSE,(patient_is_female=true) AND(patient_has_sex-male=true),FALSE,,,
Xg4KubeuLvFsBLX09FPn,Who I Am,Personal Details,text-area,Is there anything we need to know about your gender identity or gender history in order to provide you with appropriate care?,,patients_gender_details,FALSE,(patient_is_male=true) AND(patient_has_sex-female=true),FALSE,,,
ryu1c7DD3pohSQDTRJ5I,Who I Am,Personal Details,age,,,,FALSE,,FALSE,,,
